;Symbol;medrv;bv;close_price;rv10;rsv_ss;open_time;nobs;rv5;bv_ss;rv5_ss;rv10_ss;open_to_close;close_time;rk_th2;rk_twoscale;open_price;rsv;rk_parzen
2004-10-15 00:00:00+01:00;.SPX;1.45E-05;3.97E-05;1108.08;4.78E-05;2.12E-05;93012;1541;5.32E-05;3.97E-05;5.32E-05;4.78E-05;0.003290369;160010;4.18E-05;4.02E-05;1104.44;2.12E-05;3.51E-05
2004-10-18 00:00:00+01:00;.SPX;1.78E-05;4.10E-05;1114.06;4.54E-05;1.52E-05;93009;1541;3.95E-05;4.10E-05;3.95E-05;4.54E-05;0.005607853;160008;3.65E-05;3.54E-05;1107.83;1.52E-05;4.87E-05
2004-10-19 00:00:00+01:00;.SPX;1.84E-05;2.84E-05;1103.19;3.86E-05;2.09E-05;93003;1467;3.36E-05;2.84E-05;3.36E-05;3.86E-05;-0.010460063;155954;3.70E-05;3.64E-05;1114.79;2.09E-05;4.78E-05
2004-10-20 00:00:00+01:00;.SPX;3.11E-05;4.62E-05;1103.53;4.54E-05;2.57E-05;93003;1551;5.38E-05;4.62E-05;5.38E-05;4.54E-05;0.000607327;155949;4.92E-05;4.70E-05;1102.86;2.57E-05;4.59E-05
2004-10-21 00:00:00+01:00;.SPX;2.05E-05;4.30E-05;1106.36;4.98E-05;2.00E-05;93012;1541;5.02E-05;4.30E-05;5.02E-05;4.98E-05;0.001755037;160011;5.11E-05;4.96E-05;1104.42;2.00E-05;6.87E-05
2004-10-22 00:00:00+01:00;.SPX;2.28E-05;3.26E-05;1095.6;3.05E-05;2.52E-05;93000;1541;3.63E-05;3.26E-05;3.63E-05;3.05E-05;-0.009890685;155957;3.88E-05;3.80E-05;1106.49;2.52E-05;3.64E-05
2004-10-25 00:00:00+01:00;.SPX;2.68E-05;3.99E-05;1094.9;3.94E-05;2.20E-05;93005;1541;4.68E-05;3.99E-05;4.68E-05;3.94E-05;-0.000228305;160005;5.10E-05;5.05E-05;1095.15;2.20E-05;2.19E-05
2004-10-26 00:00:00+01:00;.SPX;1.75E-05;3.21E-05;1110.74;4.61E-05;9.10E-06;93003;1541;3.94E-05;3.21E-05;3.94E-05;4.61E-05;0.014399959;160003;3.28E-05;3.22E-05;1094.86;9.10E-06;4.31E-05
2004-10-27 00:00:00+01:00;.SPX;1.41E-05;4.68E-05;1125.43;5.60E-05;1.18E-05;93010;1541;4.71E-05;4.68E-05;4.71E-05;5.60E-05;0.013210752;160010;4.29E-05;4.21E-05;1110.66;1.18E-05;7.81E-05
2004-10-28 00:00:00+01:00;.SPX;1.19E-05;2.84E-05;1127.23;4.47E-05;1.64E-05;93007;1541;3.45E-05;2.84E-05;3.45E-05;4.47E-05;0.002202507;160007;3.51E-05;3.41E-05;1124.75;1.64E-05;2.67E-05
2004-10-29 00:00:00+01:00;.SPX;1.47E-05;3.19E-05;1129.5;3.14E-05;1.71E-05;93014;1551;2.92E-05;3.19E-05;2.92E-05;3.14E-05;0.00185209;160001;2.56E-05;2.53E-05;1127.41;1.71E-05;2.00E-05
